tweet,cleaned_tweet,cleaned_token,label
"Keberadaan anak-anak dalam pemilu, terutama saat kampanye, sudah terjadi sejak lama. Meskipun aturan melarang keterlibatan anak dalam ...",ada anakanak milu kampanye atur larang libat anak,"['keberadaan', 'anakanak', 'pemilu', 'kampanye', 'aturan', 'melarang', 'keterlibatan', 'anak']",netral
"Presiden Joko Widodo mendatangi Hotel Fairmont, tempat kumpul kubu Prabowo-Gibran selepas kampanye akbar di GBK, Sabtu malam.",presiden joko widodo hotel fairmont kumpul kubu prabowogibran lepas kampanye akbar gbk malam,"['presiden', 'joko', 'widodo', 'hotel', 'fairmont', 'kumpul', 'kubu', 'prabowogibran', 'selepas', 'kampanye', 'akbar', 'gbk', 'sabtu', 'malam']",netral
"Massa Kampanye Prabowo-Gibran Membeludak, SBY Jalan Kaki https://t.co/ffPlH5v2Qm.",massa kampanye prabowogibran beludak sby jalan kaki httpstcoffplhvqm,"['massa', 'kampanye', 'prabowogibran', 'membeludak', 'sby', 'jalan', 'kaki']",netral
Wow nba2k20 kampanye “Black Live Matter” jg.,nbak kampanye black live matter juga,"['wow', 'nbak', 'kampanye', '“black', 'live', 'matter”', 'jg']",netral
"Peserta Pemilu dapat melakukan kampanye dengan cara pertemuan terbatas, pertemuan tatap muka, penyebaran bahan kampanye, pemasangan alat ...",serta milu kampanye temu batas temu tatap muka sebar bahan kampanye pasang alat,"['peserta', 'pemilu', 'kampanye', 'pertemuan', 'terbatas', 'pertemuan', 'tatap', 'muka', 'penyebaran', 'bahan', 'kampanye', 'pemasangan', 'alat']",netral
UU Pemilu mengatur kampanye pemilu dilaksanakan oleh pelaksana kampanye. Presiden Jokowi tercatat belum didaftarkan sebagai pelaksana ...,uu milu atur kampanye milu laksana laksana kampanye presiden jokowi catat daftar laksana,"['uu', 'pemilu', 'mengatur', 'kampanye', 'pemilu', 'dilaksanakan', 'pelaksana', 'kampanye', 'presiden', 'jokowi', 'tercatat', 'didaftarkan', 'pelaksana']",netral
"APEL SIAGA PENGAWASAN KAMPANYE, SUDADI TEGASKAN KESIAPAN JAJARAN PENGAWAS PEMILU Pemalang ~ #HaloSahabatBawaslu, Untuk memastikan kesiapan ...",apel siaga awas kampanye sudadi tegas kesiap jajar awas milu malang halosahabatbawaslu kesiap,"['apel', 'siaga', 'pengawasan', 'kampanye', 'sudadi', 'tegaskan', 'kesiapan', 'jajaran', 'pengawas', 'pemilu', 'pemalang', 'kesiapan']",netral
"Hadiri Kampanye Anies di JIS, Pria Ini Berharap Diangkat Lagi jadi PNS Usai Diberhentikan https://t.co/mzsRly2i9M #TempoMetro.",hadir kampanye anies jis pria harap angkat pns henti httpstcomzsrlyim tempometro,"['hadiri', 'kampanye', 'anies', 'jis', 'pria', 'berharap', 'diangkat', 'pns', 'diberhentikan']",negatif
"... Koordinasi Pembahasan Rancangan Keputusan KPU Kabupaten Kudus tentang Lokasi Pemasangan Alat Peraga Kampanye dan Rapat Umum, Rabu (22/11).",koordinasi bahas rancang putus kpu kabupaten kudus lokasi pasang alat raga kampanye rapat,"['koordinasi', 'pembahasan', 'rancangan', 'keputusan', 'kpu', 'kabupaten', 'kudus', 'lokasi', 'pemasangan', 'alat', 'peraga', 'kampanye', 'rapat', 'rabu']",negatif
"Kampanye adalah kegiatan menyampaikan visi dan misi peserta Pemilihan Serentak 2020. Dari kampanye, kita bisa tahu program-program apa saja ...",kampanye giat visi misi serta pilih serentak kampanye programprogram,"['kampanye', 'kegiatan', 'visi', 'misi', 'peserta', 'pemilihan', 'serentak', 'kampanye', 'programprogram']",positif
"Pelanggaran kampanye di media internet marak terjadi. Ujaran kebencian, hoaks, hasutan, dan kampanye di luar jadwal terpantau dilakukan.",langgar kampanye media internet marak ujar benci hoaks hasut kampanye jadwal pantau,"['pelanggaran', 'kampanye', 'media', 'internet', 'marak', 'ujaran', 'kebencian', 'hoaks', 'hasutan', 'kampanye', 'jadwal', 'terpantau']",netral
Hal Yang Dilarang Saat Kampanye Kampanye Pemilu adalah kegiatan yang dilakukan oleh peserta Pemilu atau pihak lain yang ditunjuk untuk ...,hal larang kampanye kampanye milu giat serta milu,"['dilarang', 'kampanye', 'kampanye', 'pemilu', 'kegiatan', 'peserta', 'pemilu']",netral
Tan_Mar3M Kemarin gue lihat peserta Kampanye Akbar AMIN semaput saat jalan kaki di tengah kerumunan... badannya langsung ngegelosor dan ...,tanmarm kemarin lihat serta kampanye akbar amin semaput jalan kaki kerumun badan langsung ngegelosor,"['tanmarm', 'kemarin', 'gue', 'lihat', 'peserta', 'kampanye', 'akbar', 'amin', 'semaput', 'jalan', 'kaki', 'kerumunan', 'badannya', 'langsung', 'ngegelosor']",netral
Bawaslu terus memantau kampanye peserta Pemilihan 2020. Terdapat peningkatan aktivitas kampanye dari hari ke hari.,bawaslu pantau kampanye serta pilih tingkat aktivitas kampanye,"['bawaslu', 'memantau', 'kampanye', 'peserta', 'pemilihan', 'peningkatan', 'aktivitas', 'kampanye']",netral
"Pemilu2024 ] Kampanye di Bandung, Prabowo Yakinkan Pendukungnya Tidak Salah Pilih #AdadiKompas https://t.co/T8QpJ5a5Sl.",milu kampanye bandung prabowo yakin dukung salah pilih adadikompas httpstcotqpjasl,"['pemilu', 'kampanye', 'bandung', 'prabowo', 'yakinkan', 'pendukungnya', 'salah', 'pilih']",netral
"Selamat pagi, #SahabatBawaslu, kampanye boleh saja, tapi jangan sampai melanggar UU Pemilu. Apa saja larangannya. Ini, niiiih...",selamat pagi sahabatbawaslu kampanye langgar uu milu larang niiiih,"['selamat', 'pagi', 'kampanye', 'melanggar', 'uu', 'pemilu', 'larangannya', 'niiiih']",netral
Istana Pastikan Jokowi Tidak Akan Lakukan Kampanye Hari Ini https://t.co/zLws8fgg2y #Pemilu2024.,istana pasti jokowi laku kampanye httpstcozlwsfggy milu,"['istana', 'pastikan', 'jokowi', 'lakukan', 'kampanye']",netral
Masing-masing parpol pengusung akan melangsungkan kampanye sesuai waktu yang telah ditetapkan. Adapun jadwal kampanye rapat umum pekan kedua ...,masingmasing parpol usung langsung kampanye sesuai tetap jadwal kampanye rapat pekan,"['masingmasing', 'parpol', 'pengusung', 'melangsungkan', 'kampanye', 'sesuai', 'ditetapkan', 'jadwal', 'kampanye', 'rapat', 'pekan']",netral
"Dimasa Kampanye Pemilu 2024, Polda Papua Intensifkan Razia demi Keamanan Berkendara . #PengabdianUntukIndonesia.",masa kampanye milu polda papua intensif razia aman kendara pengabdianuntukindonesia,"['dimasa', 'kampanye', 'pemilu', 'polda', 'papua', 'intensifkan', 'razia', 'keamanan', 'berkendara']",negatif
TemanPemilih Pengumuman Tim Kampanye Pemilu Presiden dan Wakil Presiden tingkat Jawa Tengah pada Pemilu 2024 sudah dapat kamu akses di ...,temanpemilih umum tim kampanye milu presiden wakil presiden tingkat jawa milu akses,"['temanpemilih', 'pengumuman', 'tim', 'kampanye', 'pemilu', 'presiden', 'wakil', 'presiden', 'tingkat', 'jawa', 'pemilu', 'akses']",netral
"Sosialisasi Peraturan KPU Tentang Kampanye, Dana Kampanye dan Keputusan KPU Tentang Lokasi Pemasangan Alat Peraga Kampanye Pemilu Tahun 2024 ...",sosialisasi atur kpu kampanye dana kampanye putus kpu lokasi pasang alat raga kampanye milu,"['sosialisasi', 'peraturan', 'kpu', 'kampanye', 'dana', 'kampanye', 'keputusan', 'kpu', 'lokasi', 'pemasangan', 'alat', 'peraga', 'kampanye', 'pemilu']",negatif
